,Date,Day,High Temp (°F),Low Temp (°F),Precipitation,Brooklyn Bridge,Manhattan Bridge,Williamsburg Bridge,Queensboro Bridge,Total
0,2016-04-01 00:00:00,2016-04-01 00:00:00,78.1,66,0.01,1704.0,3126,4115.0,2552.0,11497
1,2016-04-02 00:00:00,2016-04-02 00:00:00,55.0,48.9,0.15,827.0,1646,2565.0,1884.0,6922
2,2016-04-03 00:00:00,2016-04-03 00:00:00,39.9,34,0.09,526.0,1232,1695.0,1306.0,4759
3,2016-04-04 00:00:00,2016-04-04 00:00:00,44.1,33.1,0.47 (S),521.0,1067,1440.0,1307.0,4335
4,2016-04-05 00:00:00,2016-04-05 00:00:00,42.1,26.1,0,1416.0,2617,3081.0,2357.0,9471
5,2016-04-06 00:00:00,2016-04-06 00:00:00,45.0,30,0,1885.0,3329,3856.0,2849.0,11919
6,2016-04-07 00:00:00,2016-04-07 00:00:00,57.0,53.1,0.09,1276.0,2581,3282.0,2457.0,9596
7,2016-04-08 00:00:00,2016-04-08 00:00:00,46.9,44.1,0.01,1982.0,3455,4113.0,3194.0,12744
8,2016-04-09 00:00:00,2016-04-09 00:00:00,43.0,37.9,0.09,504.0,997,1507.0,1502.0,4510
9,2016-04-10 00:00:00,2016-04-10 00:00:00,48.9,30.9,0,1447.0,2387,3132.0,2160.0,9126
10,2016-04-11 00:00:00,2016-04-11 00:00:00,62.1,46,0.01,2005.0,3791,4334.0,3182.0,13312
11,2016-04-12 00:00:00,2016-04-12 00:00:00,57.0,45,0.2,1045.0,2178,2762.0,2082.0,8067
12,2016-04-13 00:00:00,2016-04-13 00:00:00,57.0,39.9,0,2840.0,5395,5995.0,4192.0,18422
13,2016-04-14 00:00:00,2016-04-14 00:00:00,62.1,44.6,0,2861.0,5309,6030.0,4115.0,18315
14,2016-04-15 00:00:00,2016-04-15 00:00:00,64.0,44.1,0,2770.0,5072,5816.0,3912.0,17570
15,2016-04-16 00:00:00,2016-04-16 00:00:00,66.0,45,0,2384.0,4316,5624.0,4051.0,16375
16,2016-04-17 00:00:00,2016-04-17 00:00:00,73.9,46,0,3147.0,4969,5867.0,4197.0,18180
17,2016-04-18 00:00:00,2016-04-18 00:00:00,81.0,52,0,3871.0,6823,7432.0,4964.0,23090
18,2016-04-19 00:00:00,2016-04-19 00:00:00,71.1,63,0,3501.0,6951,7834.0,5032.0,23318
19,2016-04-20 00:00:00,2016-04-20 00:00:00,68.0,50,0,3450.0,6574,7639.0,4928.0,22591
20,2016-04-21 00:00:00,2016-04-21 00:00:00,71.1,50,0,3436.0,6452,7426.0,4813.0,22127
21,2016-04-22 00:00:00,2016-04-22 00:00:00,78.1,63,T,2975.0,4907,6093.0,3862.0,17837
